,Winner/tie,Home/Away,Loser/tie
0,Philadelphia Eagles,,Dallas Cowboys
1,Los Angeles Chargers,,Kansas City Chiefs
2,Tampa Bay Buccaneers,@,Atlanta Falcons
3,Jacksonville Jaguars,,Carolina Panthers
4,Cincinnati Bengals,@,Cleveland Browns
5,Indianapolis Colts,,Miami Dolphins
6,Arizona Cardinals,@,New Orleans Saints
7,Las Vegas Raiders,@,New England Patriots
8,Washington Commanders,,New York Giants
9,Pittsburgh Steelers,@,New York Jets
10,Denver Broncos,,Tennessee Titans
11,San Francisco 49ers,@,Seattle Seahawks
12,Green Bay Packers,,Detroit Lions
13,Los Angeles Rams,,Houston Texans
14,Buffalo Bills,,Baltimore Ravens
15,Minnesota Vikings,@,Chicago Bears
17,Green Bay Packers,,Washington Commanders
18,Buffalo Bills,@,New York Jets
19,Detroit Lions,,Chicago Bears
20,Cincinnati Bengals,,Jacksonville Jaguars
21,Baltimore Ravens,,Cleveland Browns
22,Dallas Cowboys,,New York Giants
23,New England Patriots,@,Miami Dolphins
24,San Francisco 49ers,@,New Orleans Saints
25,Los Angeles Rams,@,Tennessee Titans
26,Seattle Seahawks,@,Pittsburgh Steelers
27,Arizona Cardinals,,Carolina Panthers
28,Indianapolis Colts,,Denver Broncos
29,Philadelphia Eagles,@,Kansas City Chiefs
30,Atlanta Falcons,@,Minnesota Vikings
31,Tampa Bay Buccaneers,@,Houston Texans
32,Los Angeles Chargers,@,Las Vegas Raiders
34,Buffalo Bills,,Miami Dolphins
35,Carolina Panthers,,Atlanta Falcons
36,Minnesota Vikings,,Cincinnati Bengals
37,Cleveland Browns,,Green Bay Packers
38,Indianapolis Colts,@,Tennessee Titans
39,Jacksonville Jaguars,,Houston Texans
40,Pittsburgh Steelers,@,New England Patriots
41,Tampa Bay Buccaneers,,New York Jets
42,Philadelphia Eagles,,Los Angeles Rams
43,Washington Commanders,,Las Vegas Raiders
44,Los Angeles Chargers,,Denver Broncos
45,Seattle Seahawks,,New Orleans Saints
46,Chicago Bears,,Dallas Cowboys
47,San Francisco 49ers,,Arizona Cardinals
48,Kansas City Chiefs,@,New York Giants
49,Detroit Lions,@,Baltimore Ravens
51,Seattle Seahawks,@,Arizona Cardinals
52,Pittsburgh Steelers,,Minnesota Vikings
53,Atlanta Falcons,,Washington Commanders
54,Buffalo Bills,,New Orleans Saints
55,New England Patriots,,Carolina Panthers
56,Detroit Lions,,Cleveland Browns
57,Houston Texans,,Tennessee Titans
58,New York Giants,,Los Angeles Chargers
59,Philadelphia Eagles,@,Tampa Bay Buccaneers
60,Los Angeles Rams,,Indianapolis Colts
61,Jacksonville Jaguars,@,San Francisco 49ers
62,Chicago Bears,@,Las Vegas Raiders
63,Kansas City Chiefs,,Baltimore Ravens
64,Green Bay Packers,@,Dallas Cowboys
65,Miami Dolphins,,New York Jets
66,Denver Broncos,,Cincinnati Bengals
68,San Francisco 49ers,@,Los Angeles Rams
69,Minnesota Vikings,@,Cleveland Browns
70,Carolina Panthers,,Miami Dolphins
71,Indianapolis Colts,,Las Vegas Raiders
72,Dallas Cowboys,@,New York Jets
73,Denver Broncos,@,Philadelphia Eagles
74,Houston Texans,@,Baltimore Ravens
75,New Orleans Saints,,New York Giants
76,Tennessee Titans,@,Arizona Cardinals
77,Tampa Bay Buccaneers,@,Seattle Seahawks
78,Detroit Lions,@,Cincinnati Bengals
79,Washington Commanders,@,Los Angeles Chargers
80,New England Patriots,@,Buffalo Bills
81,Jacksonville Jaguars,,Kansas City Chiefs
83,New York Giants,,Philadelphia Eagles
84,Denver Broncos,@,New York Jets
85,Carolina Panthers,,Dallas Cowboys
86,Pittsburgh Steelers,,Cleveland Browns
87,Indianapolis Colts,,Arizona Cardinals
88,Seattle Seahawks,@,Jacksonville Jaguars
89,Los Angeles Chargers,@,Miami Dolphins
90,New England Patriots,@,New Orleans Saints
91,Los Angeles Rams,@,Baltimore Ravens
92,Las Vegas Raiders,,Tennessee Titans
93,Green Bay Packers,,Cincinnati Bengals
94,Tampa Bay Buccaneers,,San Francisco 49ers
95,Kansas City Chiefs,,Detroit Lions
96,Atlanta Falcons,,Buffalo Bills
97,Chicago Bears,@,Washington Commanders
99,Cincinnati Bengals,,Pittsburgh Steelers
100,Los Angeles Rams,@,Jacksonville Jaguars
101,Chicago Bears,,New Orleans Saints
102,Philadelphia Eagles,@,Minnesota Vikings
103,Carolina Panthers,@,New York Jets
104,Cleveland Browns,,Miami Dolphins
105,Kansas City Chiefs,,Las Vegas Raiders
106,New England Patriots,@,Tennessee Titans
107,Indianapolis Colts,@,Los Angeles Chargers
108,Denver Broncos,,New York Giants
109,Green Bay Packers,@,Arizona Cardinals
110,Dallas Cowboys,,Washington Commanders
111,San Francisco 49ers,,Atlanta Falcons
112,Detroit Lions,,Tampa Bay Buccaneers
113,Seattle Seahawks,,Houston Texans
