Rk_conversions_against,Tm,3DAtt_against,3DConv_against,3D%_against,4DAtt_against,4DConv_against,4D%_against,RZAtt_against,RZTD_against,RZPct_against
1.0,Chicago Bears,59.0,18.0,30.5%,8.0,4.0,50.0%,19.0,13.0,68.4%
2.0,Minnesota Vikings,73.0,22.0,30.1%,8.0,5.0,62.5%,17.0,8.0,47.1%
3.0,Houston Texans,75.0,24.0,32.0%,6.0,4.0,66.7%,15.0,10.0,66.7%
4.0,Atlanta Falcons,68.0,26.0,38.2%,8.0,6.0,75.0%,11.0,8.0,72.7%
5.0,Kansas City Chiefs,74.0,26.0,35.1%,14.0,4.0,28.6%,17.0,10.0,58.8%
6.0,San Francisco 49ers,79.0,28.0,35.4%,10.0,6.0,60.0%,20.0,12.0,60.0%
7.0,Denver Broncos,96.0,28.0,29.2%,7.0,3.0,42.9%,16.0,6.0,37.5%
8.0,Buffalo Bills,71.0,29.0,40.8%,7.0,4.0,57.1%,18.0,10.0,55.6%
9.0,New England Patriots,74.0,29.0,39.2%,8.0,2.0,25.0%,14.0,10.0,71.4%
10.0,Arizona Cardinals,85.0,30.0,35.3%,13.0,7.0,53.8%,25.0,15.0,60.0%
11.0,Green Bay Packers,84.0,31.0,36.9%,14.0,8.0,57.1%,18.0,11.0,61.1%
12.0,Detroit Lions,85.0,32.0,37.6%,13.0,6.0,46.2%,22.0,14.0,63.6%
13.0,Tampa Bay Buccaneers,87.0,32.0,36.8%,14.0,6.0,42.9%,18.0,12.0,66.7%
14.0,New Orleans Saints,82.0,32.0,39.0%,9.0,5.0,55.6%,24.0,14.0,58.3%
15.0,New York Jets,94.0,33.0,35.1%,8.0,7.0,87.5%,25.0,14.0,56.0%
16.0,Carolina Panthers,83.0,33.0,39.8%,11.0,7.0,63.6%,21.0,12.0,57.1%
17.0,New York Giants,89.0,34.0,38.2%,6.0,5.0,83.3%,22.0,14.0,63.6%
18.0,Los Angeles Rams,100.0,34.0,34.0%,23.0,14.0,60.9%,20.0,8.0,40.0%
19.0,Jacksonville Jaguars,88.0,34.0,38.6%,7.0,4.0,57.1%,21.0,13.0,61.9%
20.0,Cleveland Browns,93.0,35.0,37.6%,6.0,3.0,50.0%,17.0,12.0,70.6%
21.0,Los Angeles Chargers,89.0,35.0,39.3%,12.0,9.0,75.0%,26.0,13.0,50.0%
22.0,Pittsburgh Steelers,86.0,36.0,41.9%,17.0,11.0,64.7%,23.0,11.0,47.8%
23.0,Seattle Seahawks,101.0,36.0,35.6%,14.0,8.0,57.1%,22.0,11.0,50.0%
24.0,Washington Commanders,92.0,36.0,39.1%,10.0,5.0,50.0%,24.0,14.0,58.3%
25.0,Tennessee Titans,91.0,37.0,40.7%,11.0,9.0,81.8%,26.0,15.0,57.7%
26.0,Baltimore Ravens,84.0,37.0,44.0%,14.0,11.0,78.6%,30.0,21.0,70.0%
27.0,Miami Dolphins,84.0,39.0,46.4%,9.0,8.0,88.9%,31.0,16.0,51.6%
28.0,Philadelphia Eagles,93.0,40.0,43.0%,9.0,4.0,44.4%,23.0,10.0,43.5%
29.0,Las Vegas Raiders,89.0,40.0,44.9%,8.0,6.0,75.0%,26.0,16.0,61.5%
30.0,Cincinnati Bengals,84.0,41.0,48.8%,7.0,4.0,57.1%,32.0,23.0,71.9%
31.0,Indianapolis Colts,89.0,43.0,48.3%,13.0,7.0,53.8%,23.0,14.0,60.9%
32.0,Dallas Cowboys,95.0,49.0,51.6%,10.0,5.0,50.0%,27.0,18.0,66.7%
,League Total,,,,,,,,,
