Rk_drive_averages_against,Tm,#Dr_against,Plays_against,Sc%_against,TO%_against,Avg_plays_against,Avg_yards_against,Avg_start_against,Avg_time_against,Avg_pts_against
1.0,Atlanta Falcons,58,341,39.7,12.1,5.9,27.4,Own 32.3,2:52,1.95
2.0,Green Bay Packers,58,400,39.7,5.2,6.9,29.8,Own 31.0,3:11,2.09
3.0,Pittsburgh Steelers,59,429,44.1,15.3,7.3,38.2,Own 27.3,3:19,2.27
4.0,Buffalo Bills,62,353,40.3,8.1,5.7,31.3,Own 31.6,2:36,2.24
5.0,Indianapolis Colts,64,457,39.1,17.2,7.1,37.8,Own 29.7,3:19,2.17
6.0,Kansas City Chiefs,64,380,34.4,10.9,5.9,30.6,Own 28.4,3:02,1.84
7.0,Baltimore Ravens,65,418,53.8,4.6,6.4,34.9,Own 34.9,2:58,3.03
8.0,Chicago Bears,66,344,37.9,24.2,5.2,30.8,Own 30.2,2:34,2.23
9.0,Miami Dolphins,66,439,56.1,7.6,6.7,38.3,Own 30.8,3:29,2.89
10.0,Houston Texans,67,358,22.4,14.9,5.3,24.3,Own 27.3,2:36,1.33
11.0,Minnesota Vikings,68,359,30.9,10.3,5.3,26.7,Own 32.1,2:40,1.63
12.0,Los Angeles Chargers,69,425,46.4,10.1,6.2,32.0,Own 31.8,2:50,2.38
13.0,New England Patriots,69,405,36.2,13.0,5.9,31.7,Own 27.7,2:57,1.84
14.0,Carolina Panthers,69,404,37.7,10.1,5.9,30.0,Own 30.4,2:47,2.0
15.0,Las Vegas Raiders,69,430,43.5,10.1,6.2,32.0,Own 34.8,3:03,2.35
16.0,San Francisco 49ers,71,432,33.8,8.5,6.1,31.2,Own 31.7,2:49,1.86
17.0,Philadelphia Eagles,71,470,46.5,9.9,6.6,34.0,Own 30.4,3:00,2.3
18.0,New Orleans Saints,72,447,44.4,12.5,6.2,32.2,Own 33.7,3:06,2.39
19.0,Los Angeles Rams,72,470,31.9,13.9,6.5,29.2,Own 27.4,3:03,1.46
20.0,Arizona Cardinals,73,465,41.1,8.2,6.4,32.2,Own 28.2,2:43,2.05
21.0,Washington Commanders,74,454,43.2,4.1,6.1,34.4,Own 29.1,3:01,2.22
22.0,Tennessee Titans,75,446,42.7,9.3,5.9,32.6,Own 34.5,3:05,2.4
23.0,Tampa Bay Buccaneers,75,439,40.0,10.7,5.9,30.4,Own 30.8,2:44,2.16
24.0,Cincinnati Bengals,75,463,44.0,12.0,6.2,36.8,Own 33.0,3:04,2.65
25.0,Dallas Cowboys,75,476,48.0,8.0,6.3,37.4,Own 27.4,3:00,2.72
26.0,New York Jets,76,449,46.1,1.3,5.9,30.0,Own 33.0,2:52,2.33
27.0,Cleveland Browns,77,409,33.8,9.1,5.3,23.1,Own 30.1,2:39,1.79
28.0,New York Giants,78,482,41.0,6.4,6.2,33.7,Own 25.3,2:42,2.15
29.0,Jacksonville Jaguars,79,435,32.9,17.7,5.5,29.8,Own 29.3,2:34,1.95
30.0,Detroit Lions,80,424,32.5,13.8,5.3,26.3,Own 29.1,2:28,1.93
31.0,Seattle Seahawks,81,477,32.1,9.9,5.9,26.4,Own 29.1,2:43,1.6
32.0,Denver Broncos,81,443,34.6,4.9,5.5,23.7,Own 28.5,2:31,1.58
,League Total,2258,13623,39.6,10.4,6.0,31.1,Own 30.3,2:53,2.11
