,,,Scoring,,,,,
Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%
1,Cincinnati Bengals,5,6,5,83.3%,20,19,95.0%
2,Cleveland Browns,5,8,6,75.0%,15,15,100.0%
3,New York Jets,5,14,13,92.9%,17,16,94.1%
4,Miami Dolphins,5,12,11,91.7%,14,12,85.7%
5,Pittsburgh Steelers,4,6,5,83.3%,9,9,100.0%
6,Carolina Panthers,5,9,7,77.8%,14,14,100.0%
7,Chicago Bears,4,8,6,75.0%,11,11,100.0%
8,Los Angeles Chargers,5,12,12,100.0%,7,6,85.7%
9,Las Vegas Raiders,5,12,10,83.3%,11,11,100.0%
10,Atlanta Falcons,4,11,10,90.9%,7,6,85.7%
11,Denver Broncos,5,14,14,100.0%,6,6,100.0%
12,Minnesota Vikings,5,11,9,81.8%,10,10,100.0%
13,Green Bay Packers,4,8,6,75.0%,8,8,100.0%
14,New York Giants,6,16,13,81.3%,14,13,92.9%
15,Arizona Cardinals,5,14,12,85.7%,7,6,85.7%
16,Houston Texans,5,7,2,28.6%,7,7,100.0%
17,New England Patriots,5,8,6,75.0%,12,11,91.7%
18,Tennessee Titans,5,10,8,80.0%,16,15,93.8%
19,Philadelphia Eagles,6,15,12,80.0%,14,13,92.9%
20,New Orleans Saints,5,9,8,88.9%,16,15,93.8%
21,San Francisco 49ers,5,11,7,63.6%,10,9,90.0%
22,Washington Commanders,5,9,8,88.9%,9,9,100.0%
23,Baltimore Ravens,5,13,11,84.6%,18,18,100.0%
24,Jacksonville Jaguars,5,6,5,83.3%,11,11,100.0%
25,Kansas City Chiefs,5,8,8,100.0%,12,11,91.7%
26,Los Angeles Rams,5,13,13,100.0%,8,8,100.0%
27,Dallas Cowboys,5,9,9,100.0%,16,15,93.8%
28,Buffalo Bills,5,8,8,100.0%,12,11,91.7%
29,Tampa Bay Buccaneers,5,9,7,77.8%,15,15,100.0%
30,Indianapolis Colts,5,10,6,60.0%,9,9,100.0%
31,Seattle Seahawks,5,14,11,78.6%,8,8,100.0%
32,Detroit Lions,5,6,5,83.3%,13,13,100.0%
