Rk_passing_defense,Tm,Cmp_allowed,Att_allowed_passing,Cmp%_allowed,Passing_yds_allowed,Passing_TDs_allowed,Passing_TD%_allowed,Int,Passes_defended,Int%,Y/A_passing_allowed,AY/A_passing_allowed,Y/C_passing_allowed,Y/G_passing_allowed,Rate_allowed,Sk,SkYds,QBHits,TFL,Sk%,NY/A_passing_allowed,NY/A_passing_allowed,EXP_passing_defense
1.0,Atlanta Falcons,92.0,156.0,59.0,847.0,7.0,4.5,6.0,27.0,3.8,6.0,5.2,10.2,141.2,75.1,15.0,87.0,33.0,25.0,8.8,5.0,4.2,2.59
2.0,Buffalo Bills,106.0,165.0,64.2,1003.0,7.0,4.2,2.0,16.0,1.2,6.6,6.9,10.3,167.2,92.2,15.0,84.0,28.0,35.0,8.3,5.6,5.9,-4.29
3.0,Houston Texans,107.0,185.0,57.8,1074.0,4.0,2.2,7.0,27.0,3.8,6.4,5.1,11.0,179.0,68.3,14.0,108.0,31.0,30.0,7.0,5.4,4.2,22.72
4.0,Minnesota Vikings,109.0,161.0,67.7,1104.0,8.0,5.0,2.0,15.0,1.2,7.5,7.9,11.0,184.0,101.0,16.0,97.0,27.0,36.0,9.0,6.2,6.6,14.49
5.0,Cleveland Browns,131.0,200.0,65.5,1216.0,12.0,6.0,5.0,25.0,2.5,6.7,6.8,10.3,173.7,94.3,18.0,129.0,36.0,46.0,8.3,5.6,5.6,-12.15
6.0,Kansas City Chiefs,134.0,193.0,69.4,1222.0,7.0,3.6,4.0,22.0,2.1,6.6,6.4,9.5,174.6,91.0,15.0,55.0,38.0,30.0,7.2,5.9,5.7,1.66
7.0,Denver Broncos,124.0,222.0,55.9,1259.0,7.0,3.2,2.0,39.0,0.9,6.6,6.8,11.8,179.9,82.8,34.0,202.0,73.0,35.0,13.3,4.9,5.1,-1.42
8.0,Green Bay Packers,161.0,238.0,67.6,1272.0,10.0,4.2,2.0,24.0,0.8,5.8,6.3,8.6,212.0,93.2,18.0,112.0,52.0,32.0,7.0,5.0,5.4,-29.72
9.0,Chicago Bears,123.0,172.0,71.5,1274.0,15.0,8.7,11.0,27.0,6.4,7.7,6.6,10.8,212.3,96.3,12.0,56.0,27.0,27.0,6.5,6.9,5.9,-34.18
10.0,Los Angeles Chargers,136.0,221.0,61.5,1346.0,7.0,3.2,6.0,35.0,2.7,6.5,5.9,10.6,192.3,79.8,17.0,96.0,36.0,35.0,7.1,5.7,5.1,-23.56
11.0,New York Jets,129.0,202.0,63.9,1380.0,13.0,6.4,,29.0,,7.1,8.4,11.2,197.1,106.5,10.0,63.0,24.0,32.0,4.7,6.5,7.7,-43.57
12.0,Carolina Panthers,141.0,221.0,63.8,1422.0,10.0,4.5,6.0,28.0,2.7,6.7,6.4,10.6,203.1,87.1,11.0,69.0,24.0,25.0,4.7,6.1,5.8,-38.46
13.0,Miami Dolphins,144.0,193.0,74.6,1427.0,11.0,5.7,1.0,18.0,0.5,7.9,8.8,10.5,203.9,113.9,14.0,92.0,28.0,28.0,6.8,6.9,7.7,-77.48
14.0,New Orleans Saints,138.0,203.0,68.0,1444.0,14.0,6.9,4.0,31.0,2.0,7.5,8.0,11.0,206.3,104.7,14.0,75.0,34.0,33.0,6.5,6.7,7.1,-50.6
15.0,Los Angeles Rams,160.0,256.0,62.5,1458.0,8.0,3.1,4.0,38.0,1.6,6.4,6.3,10.2,208.3,84.6,26.0,171.0,58.0,35.0,9.2,5.2,5.1,23.27
16.0,Tennessee Titans,150.0,205.0,73.2,1470.0,9.0,4.4,4.0,19.0,2.0,7.6,7.6,10.4,210.0,101.3,13.0,93.0,35.0,30.0,6.0,6.7,6.7,-51.35
17.0,Baltimore Ravens,148.0,216.0,68.5,1479.0,14.0,6.5,1.0,14.0,0.5,7.1,8.2,10.4,246.5,108.4,8.0,53.0,28.0,25.0,3.6,6.6,7.7,-64.23
18.0,Detroit Lions,150.0,238.0,63.0,1486.0,14.0,5.9,7.0,42.0,2.9,6.8,6.7,10.9,212.3,90.5,23.0,144.0,42.0,28.0,8.8,5.7,5.6,-16.67
19.0,San Francisco 49ers,152.0,231.0,65.8,1516.0,11.0,4.8,,21.0,,6.8,7.8,10.4,216.6,101.2,9.0,60.0,19.0,33.0,3.8,6.3,7.2,-37.59
20.0,Philadelphia Eagles,145.0,244.0,59.4,1549.0,7.0,2.9,5.0,36.0,2.0,6.6,6.3,11.1,221.3,80.1,11.0,61.0,38.0,25.0,4.3,6.1,5.7,-19.14
21.0,Pittsburgh Steelers,156.0,237.0,65.8,1553.0,10.0,4.2,5.0,37.0,2.1,7.1,7.0,10.9,258.8,92.0,22.0,141.0,59.0,37.0,8.5,6.0,5.9,-29.98
22.0,Las Vegas Raiders,159.0,236.0,67.4,1576.0,11.0,4.7,3.0,25.0,1.3,7.1,7.5,10.5,225.1,98.1,15.0,101.0,31.0,43.0,6.0,6.3,6.6,-63.51
23.0,Tampa Bay Buccaneers,156.0,228.0,68.4,1603.0,11.0,4.8,5.0,30.0,2.2,7.7,7.7,11.3,229.0,98.2,20.0,158.0,44.0,45.0,8.1,6.5,6.4,-23.0
24.0,Seattle Seahawks,180.0,276.0,65.2,1611.0,11.0,4.0,8.0,40.0,2.9,6.4,5.9,9.9,230.1,84.5,23.0,165.0,57.0,41.0,7.7,5.4,4.9,-31.32
25.0,Arizona Cardinals,169.0,266.0,63.5,1644.0,8.0,3.0,4.0,40.0,1.5,6.5,6.4,10.2,234.9,85.8,12.0,80.0,35.0,33.0,4.3,5.9,5.8,-47.3
26.0,New England Patriots,156.0,216.0,72.2,1650.0,10.0,4.6,5.0,20.0,2.3,8.1,8.0,11.3,235.7,102.0,18.0,109.0,35.0,39.0,7.7,7.1,6.9,-36.43
27.0,Washington Commanders,138.0,215.0,64.2,1668.0,12.0,5.6,2.0,31.0,0.9,8.3,9.0,13.0,238.3,105.0,19.0,120.0,42.0,37.0,8.1,7.1,7.8,-43.4
28.0,New York Giants,175.0,275.0,63.6,1717.0,9.0,3.3,4.0,40.0,1.5,6.6,6.6,10.4,245.3,87.6,15.0,110.0,40.0,38.0,5.2,5.9,5.9,-33.67
29.0,Jacksonville Jaguars,159.0,257.0,61.9,1720.0,15.0,5.8,10.0,45.0,3.9,6.9,6.3,11.2,245.7,85.7,8.0,59.0,35.0,24.0,3.0,6.5,5.9,-25.42
30.0,Indianapolis Colts,182.0,275.0,66.2,1788.0,13.0,4.7,9.0,34.0,3.3,7.0,6.4,10.5,255.4,88.4,19.0,126.0,54.0,37.0,6.5,6.1,5.6,-36.2
31.0,Cincinnati Bengals,162.0,237.0,68.4,1800.0,17.0,7.2,8.0,30.0,3.4,7.8,7.8,11.5,257.1,101.6,11.0,58.0,28.0,22.0,4.4,7.3,7.2,-70.36
32.0,Dallas Cowboys,164.0,238.0,68.9,1822.0,16.0,6.7,3.0,15.0,1.3,8.1,8.9,11.8,260.3,110.6,15.0,116.0,41.0,34.0,5.9,7.2,7.9,-64.13
,Avg Team,144.9,221.2,65.5,1450.0,10.6,4.8,4.5,28.8,2.0,7.0,7.0,10.7,214.8,93.3,15.9,101.6,37.9,33.0,6.7,6.11,6.1,-29.5
,League Total,4636.0,7078.0,65.5,46400.0,338.0,4.8,145.0,920.0,2.0,7.0,7.0,10.7,214.8,93.3,510.0,3250.0,1212.0,1055.0,6.7,6.11,6.1,
,Avg Tm/G,21.5,32.8,65.5,214.8,1.6,4.8,0.7,4.3,2.0,7.0,7.0,10.7,214.8,93.3,2.4,15.0,5.6,4.9,6.7,6.11,6.1,
