Rk_rushing,Tm,Rushing_Att,Rushing_yds,Rushing_tds,Lng_rushing,Y/A_rushing,Y/G_rushing,Fmb,EXP_rushing
1.0,Washington Commanders,192.0,1042.0,9.0,60.0,5.4,148.9,10.0,20.39
2.0,Carolina Panthers,208.0,981.0,3.0,53.0,4.7,140.1,8.0,14.32
3.0,Detroit Lions,207.0,936.0,10.0,78.0,4.5,133.7,4.0,3.51
4.0,Denver Broncos,192.0,923.0,8.0,50.0,4.8,131.9,5.0,4.53
5.0,Indianapolis Colts,196.0,911.0,16.0,68.0,4.6,130.1,4.0,40.19
6.0,Buffalo Bills,186.0,906.0,9.0,44.0,4.9,151.0,8.0,18.66
7.0,New York Jets,184.0,895.0,4.0,43.0,4.9,127.9,10.0,-0.55
8.0,New York Giants,213.0,876.0,9.0,31.0,4.1,125.1,7.0,9.74
9.0,Kansas City Chiefs,195.0,864.0,8.0,35.0,4.4,123.4,7.0,20.12
10.0,Dallas Cowboys,175.0,855.0,8.0,66.0,4.9,122.1,6.0,10.31
11.0,Jacksonville Jaguars,179.0,838.0,6.0,71.0,4.7,119.7,5.0,11.79
12.0,Atlanta Falcons,179.0,818.0,6.0,81.0,4.6,136.3,6.0,10.49
13.0,Los Angeles Chargers,160.0,778.0,2.0,54.0,4.9,111.1,8.0,10.56
14.0,Chicago Bears,175.0,776.0,6.0,24.0,4.4,129.3,7.0,0.41
15.0,Arizona Cardinals,175.0,773.0,5.0,71.0,4.4,110.4,5.0,-2.25
16.0,Baltimore Ravens,142.0,757.0,6.0,71.0,5.3,126.2,9.0,-1.17
17.0,Seattle Seahawks,202.0,743.0,8.0,31.0,3.7,106.1,9.0,-17.53
18.0,New England Patriots,194.0,724.0,7.0,22.0,3.7,103.4,10.0,-22.48
19.0,Los Angeles Rams,175.0,724.0,4.0,45.0,4.1,103.4,8.0,-14.16
20.0,Green Bay Packers,177.0,705.0,8.0,25.0,4.0,117.5,4.0,8.45
21.0,New Orleans Saints,183.0,701.0,3.0,18.0,3.8,100.1,5.0,0.87
22.0,Tampa Bay Buccaneers,175.0,697.0,5.0,33.0,4.0,99.6,7.0,6.53
23.0,San Francisco 49ers,200.0,667.0,3.0,19.0,3.3,95.3,7.0,-20.08
24.0,Las Vegas Raiders,170.0,656.0,3.0,64.0,3.9,93.7,4.0,-30.31
25.0,Cleveland Browns,174.0,648.0,6.0,46.0,3.7,92.6,4.0,0.91
26.0,Miami Dolphins,140.0,647.0,4.0,49.0,4.6,92.4,10.0,9.24
27.0,Houston Texans,150.0,637.0,3.0,30.0,4.2,106.2,2.0,2.46
28.0,Minnesota Vikings,142.0,623.0,5.0,24.0,4.4,103.8,11.0,-5.96
29.0,Philadelphia Eagles,185.0,617.0,8.0,29.0,3.3,88.1,5.0,6.24
30.0,Pittsburgh Steelers,144.0,567.0,3.0,37.0,3.9,94.5,5.0,0.46
31.0,Tennessee Titans,139.0,530.0,2.0,27.0,3.8,75.7,7.0,-14.87
32.0,Cincinnati Bengals,131.0,482.0,2.0,37.0,3.7,68.9,7.0,-0.24
,Avg Team,176.2,759.3,5.9,45.0,4.3,112.5,6.7,2.5
,League Total,5639.0,24297.0,189.0,81.0,4.3,112.5,214.0,
,Avg Tm/G,26.1,112.5,0.9,,4.3,112.5,1.0,
