Rk_scoring_defense,Tm,RshTD_allowed,RecTD_allowed,PR_TD_allowed,KR_TD_allowed,FblTD_allowed,IntTD_allowed,OthTD_allowed,AllTD_allowed,2PM_allowed,2PA_allowed,D2P_allowed,XPM_allowed,XPA_allowed,FGM_allowed,FGA_allowed,Sfty_allowed,Pts_allowed,Pts/G_allowed
1.0,Houston Texans,7.0,4.0,,,,,,11.0,,1.0,,10.0,10.0,4.0,10.0,,88.0,14.7
2.0,Los Angeles Rams,2.0,8.0,,,,,1.0,11.0,,1.0,,9.0,9.0,14.0,15.0,,117.0,16.7
3.0,Kansas City Chiefs,6.0,7.0,,,,1.0,,14.0,,0.0,,13.0,14.0,9.0,9.0,,124.0,17.7
4.0,Denver Broncos,4.0,7.0,,,,,,11.0,,1.0,,8.0,10.0,17.0,17.0,1.0,127.0,18.1
5.0,New England Patriots,3.0,10.0,1.0,,,,,14.0,,0.0,,13.0,14.0,12.0,14.0,,133.0,19.0
6.0,Seattle Seahawks,2.0,11.0,,,1.0,,,14.0,2.0,4.0,,9.0,10.0,13.0,17.0,,136.0,19.4
7.0,San Francisco 49ers,4.0,11.0,1.0,,,,,16.0,,2.0,,13.0,14.0,9.0,14.0,1.0,138.0,19.7
8.0,Atlanta Falcons,4.0,7.0,,,,1.0,,12.0,1.0,1.0,,10.0,11.0,12.0,13.0,,120.0,20.0
9.0,Indianapolis Colts,3.0,13.0,,,,,,16.0,1.0,1.0,,15.0,15.0,9.0,13.0,,140.0,20.0
10.0,Green Bay Packers,3.0,10.0,,,,,,13.0,2.0,2.0,,11.0,11.0,10.0,14.0,,125.0,20.8
11.0,Minnesota Vikings,4.0,8.0,,,,2.0,,14.0,,0.0,,14.0,14.0,9.0,12.0,,125.0,20.8
12.0,Detroit Lions,5.0,14.0,,,,,,19.0,,2.0,,16.0,17.0,7.0,8.0,,151.0,21.6
13.0,Cleveland Browns,3.0,12.0,1.0,,1.0,,,17.0,,0.0,,17.0,17.0,11.0,14.0,,152.0,21.7
14.0,Carolina Panthers,5.0,10.0,1.0,,1.0,,,17.0,,0.0,,17.0,17.0,11.0,13.0,,152.0,21.7
15.0,Arizona Cardinals,7.0,8.0,,,1.0,,,16.0,,2.0,,13.0,14.0,15.0,17.0,,154.0,22.0
16.0,Jacksonville Jaguars,4.0,15.0,,,,,,19.0,1.0,1.0,,18.0,18.0,7.0,8.0,,155.0,22.1
17.0,Buffalo Bills,9.0,7.0,,,,,,16.0,,1.0,,14.0,15.0,9.0,10.0,,137.0,22.8
18.0,Los Angeles Chargers,10.0,7.0,,,,,,17.0,2.0,3.0,,12.0,14.0,15.0,16.0,,163.0,23.3
19.0,Pittsburgh Steelers,4.0,10.0,,,,,2.0,15.0,1.0,3.0,,12.0,12.0,12.0,13.0,,140.0,23.3
20.0,Philadelphia Eagles,9.0,7.0,,,,,,16.0,1.0,1.0,,14.0,15.0,17.0,20.0,1.0,165.0,23.6
21.0,Washington Commanders,5.0,12.0,,,,1.0,,18.0,1.0,3.0,,15.0,15.0,15.0,17.0,,170.0,24.3
22.0,Tampa Bay Buccaneers,7.0,11.0,,,,,2.0,20.0,,1.0,,19.0,19.0,12.0,15.0,,175.0,25.0
23.0,New York Giants,9.0,9.0,,,1.0,,,19.0,3.0,3.0,,15.0,16.0,14.0,17.0,,177.0,25.3
24.0,Las Vegas Raiders,9.0,11.0,1.0,,,,,21.0,1.0,5.0,,16.0,16.0,12.0,14.0,,180.0,25.7
25.0,Chicago Bears,4.0,15.0,,,,,,19.0,2.0,3.0,,16.0,16.0,7.0,11.0,,155.0,25.8
26.0,New York Jets,5.0,13.0,,,,1.0,,19.0,,0.0,,18.0,19.0,17.0,18.0,,183.0,26.1
27.0,New Orleans Saints,6.0,14.0,1.0,,,,,21.0,1.0,1.0,,19.0,20.0,13.0,14.0,,186.0,26.6
28.0,Tennessee Titans,12.0,9.0,,,1.0,1.0,,23.0,,1.0,,21.0,22.0,11.0,13.0,,192.0,27.4
29.0,Miami Dolphins,9.0,11.0,,1.0,,1.0,,22.0,2.0,2.0,,18.0,20.0,17.0,18.0,,205.0,29.3
30.0,Dallas Cowboys,8.0,16.0,,,,,,24.0,2.0,3.0,,20.0,21.0,12.0,12.0,1.0,206.0,29.4
31.0,Cincinnati Bengals,8.0,17.0,,,1.0,1.0,,27.0,,0.0,,26.0,27.0,8.0,9.0,1.0,214.0,30.6
32.0,Baltimore Ravens,9.0,14.0,,,,,,23.0,,3.0,,20.0,20.0,12.0,15.0,,194.0,32.3
,Avg Team,5.9,10.6,0.2,,0.2,0.3,0.1,17.3,0.7,1.6,0.0,15.0,15.7,11.6,13.8,0.2,155.6,23.1
,League Total,189.0,338.0,6.0,1.0,7.0,9.0,4.0,554.0,23.0,51.0,1.0,481.0,502.0,372.0,440.0,5.0,4979.0,23.1
,Avg Tm/G,0.88,1.56,0.03,,0.03,0.04,0.02,2.56,0.11,0.24,0.0,2.23,2.32,1.72,2.04,0.02,23.1,
