Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,Houston Texans,5,5,3,,,,,,8,,1,,7,7,2,7,,61,12.2
2,Denver Broncos,5,2,4,,,,,,6,,0,,6,6,14,14,,84,16.8
3,Indianapolis Colts,5,2,8,,,,,,10,1,1,,9,9,6,10,,89,17.8
4,Arizona Cardinals,5,3,5,,,1,,,9,,2,,6,7,12,14,,96,19.2
5,Minnesota Vikings,5,4,5,,,,1,,10,,0,,10,10,9,11,,97,19.4
6,San Francisco 49ers,5,2,8,1,,,,,11,,1,,9,10,7,11,1,98,19.6
7,Los Angeles Chargers,5,5,4,,,,,,9,1,2,,6,7,12,12,,98,19.6
8,Jacksonville Jaguars,5,4,8,,,,,,12,1,1,,11,11,5,6,,100,20
9,Washington Commanders,5,3,8,,,,,,11,1,2,,9,9,8,9,,101,20.2
10,New England Patriots,5,2,9,1,,,,,12,,0,,11,12,6,8,,101,20.2
11,Green Bay Packers,4,3,6,,,,,,9,1,1,,8,8,6,8,,84,21
12,Seattle Seahawks,5,2,8,,,,,,10,2,2,,8,8,11,14,,105,21
13,Los Angeles Rams,5,2,7,,,,,1,10,,1,,8,8,13,13,,107,21.4
14,Kansas City Chiefs,5,6,5,,,,1,,12,,0,,11,12,8,8,,107,21.4
15,Atlanta Falcons,4,2,5,,,,1,,8,1,1,,6,7,10,11,,86,21.5
16,Detroit Lions,5,4,10,,,,,,14,,1,,13,13,5,6,,112,22.4
17,Buffalo Bills,5,7,6,,,,,,13,,1,,11,12,8,8,,113,22.6
18,Carolina Panthers,5,5,7,1,,1,,,14,,0,,14,14,7,9,,119,23.8
19,Philadelphia Eagles,6,8,7,,,,,,15,1,1,,13,14,12,15,1,143,23.8
20,New York Giants,6,7,7,,,1,,,15,1,1,,13,14,13,16,,144,24
21,Pittsburgh Steelers,4,4,7,,,,,2,12,1,3,,9,9,5,6,,98,24.5
22,Cleveland Browns,5,3,10,1,,1,,,15,,0,,15,15,6,8,,123,24.6
23,Tampa Bay Buccaneers,5,4,10,,,,,3,16,,1,,15,15,7,9,,132,26.4
24,New Orleans Saints,5,4,11,1,,,,,16,,0,,15,16,8,9,,135,27
25,Las Vegas Raiders,5,8,7,1,,,,,16,1,5,,11,11,10,12,,139,27.8
26,Tennessee Titans,5,10,6,,,,1,,17,,1,,15,16,8,10,,141,28.2
27,Miami Dolphins,5,6,9,,1,,,,16,2,2,,12,14,11,12,,145,29
28,Chicago Bears,4,4,10,,,,,,14,2,3,,11,11,6,8,,117,29.3
29,Dallas Cowboys,5,6,12,,,,,,18,2,2,,15,16,9,9,,154,30.8
30,Cincinnati Bengals,5,6,12,,,1,1,,20,,0,,19,20,5,6,1,156,31.2
31,New York Jets,5,5,11,,,,1,,17,,0,,16,17,13,14,,157,31.4
32,Baltimore Ravens,5,8,13,,,,,,21,,3,,18,18,11,13,,177,35.4
