Rk,Tm,G,Att,Yds,TD,Y/A,Y/G,EXP
1,Green Bay Packers,4,86,310,3,3.6,77.5,6.34
2,Cleveland Browns,5,127,378,3,3,75.6,28.53
3,Seattle Seahawks,5,125,415,2,3.3,83,17.37
4,New England Patriots,5,122,428,2,3.5,85.6,15.99
5,Atlanta Falcons,4,94,436,2,4.6,109,-4.95
6,Denver Broncos,5,107,442,2,4.1,88.4,9.22
7,Houston Texans,5,116,453,5,3.9,90.6,1.77
8,Detroit Lions,5,114,461,4,4,92.2,10.28
9,Tampa Bay Buccaneers,5,122,462,4,3.8,92.4,5.01
10,Arizona Cardinals,5,120,462,3,3.9,92.4,14
11,Los Angeles Rams,5,134,468,2,3.5,93.6,-5.37
12,Pittsburgh Steelers,4,117,488,4,4.2,122,-2.9
13,Jacksonville Jaguars,5,107,489,4,4.6,97.8,-5.14
14,Indianapolis Colts,5,110,490,2,4.5,98,-0.05
15,Las Vegas Raiders,5,127,507,8,4,101.4,4.53
16,Carolina Panthers,5,120,536,5,4.5,107.2,8.51
17,San Francisco 49ers,5,132,540,2,4.1,108,6.7
18,Washington Commanders,5,145,585,3,4,117,-0.08
19,Los Angeles Chargers,5,127,608,5,4.8,121.6,-6.49
20,New Orleans Saints,5,147,611,4,4.2,122.2,4.47
21,Kansas City Chiefs,5,129,617,6,4.8,123.4,-19.14
22,Dallas Cowboys,5,145,637,6,4.4,127.4,-9.06
23,Chicago Bears,4,107,658,4,6.1,164.5,-9.85
24,Minnesota Vikings,5,147,661,4,4.5,132.2,-7.58
25,Cincinnati Bengals,5,153,661,6,4.3,132.2,-7.87
26,New York Jets,5,157,702,5,4.5,140.4,-9.99
27,Buffalo Bills,5,131,728,7,5.6,145.6,-23.99
28,Baltimore Ravens,5,156,732,8,4.7,146.4,-19.4
29,Tennessee Titans,5,147,734,10,5,146.8,-14.71
30,New York Giants,6,151,773,7,5.1,128.8,-19.22
31,Philadelphia Eagles,6,173,806,8,4.7,134.3,-20.16
32,Miami Dolphins,5,156,871,6,5.6,174.2,-19.6
