Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP
1,Washington Commanders,5,133,782,7,60,5.9,156.4,6,21.43
2,Buffalo Bills,5,162,772,9,44,4.8,154.4,6,16.44
3,New York Giants,6,181,757,7,24,4.2,126.2,7,7.66
4,New York Jets,5,133,722,4,43,5.4,144.4,9,2.6
5,Denver Broncos,5,142,703,6,50,5,140.6,2,0.88
6,Jacksonville Jaguars,5,141,685,6,71,4.9,137,3,9.5
7,Detroit Lions,5,152,674,8,72,4.4,134.8,2,1.23
8,Dallas Cowboys,5,125,672,7,66,5.4,134.4,3,18.55
9,Indianapolis Colts,5,146,641,11,68,4.4,128.2,3,22.42
10,Carolina Panthers,5,134,640,3,53,4.8,128,5,6.56
11,Kansas City Chiefs,5,125,600,6,35,4.8,120,4,22.56
12,Arizona Cardinals,5,123,591,4,71,4.8,118.2,4,-1.99
13,Los Angeles Chargers,5,119,584,2,54,4.9,116.8,6,6.75
14,New Orleans Saints,5,143,584,2,18,4.1,116.8,3,3.71
15,Houston Texans,5,133,581,3,30,4.4,116.2,2,6.79
16,Baltimore Ravens,5,105,578,6,71,5.5,115.6,6,3.39
17,Philadelphia Eagles,6,162,572,8,29,3.5,95.3,5,13.69
18,Seattle Seahawks,5,143,565,6,31,4,113,7,-9.61
19,Las Vegas Raiders,5,127,563,2,64,4.4,112.6,2,-10.6
20,Los Angeles Rams,5,123,561,3,45,4.6,112.2,6,-5.2
21,Tampa Bay Buccaneers,5,137,552,3,33,4,110.4,4,-0.3
22,Atlanta Falcons,4,127,546,4,25,4.3,136.5,5,2.61
23,Minnesota Vikings,5,119,534,4,24,4.5,106.8,9,-5.9
24,Cleveland Browns,5,124,479,3,38,3.9,95.8,3,4.41
25,New England Patriots,5,127,476,6,22,3.7,95.2,8,-18.42
26,Green Bay Packers,4,121,458,4,25,3.8,114.5,2,1.31
27,Tennessee Titans,5,112,426,2,27,3.8,85.2,4,-11.76
28,San Francisco 49ers,5,139,426,0,19,3.1,85.2,6,-21.7
29,Miami Dolphins,5,97,411,2,26,4.2,82.2,4,4.06
30,Chicago Bears,4,108,409,3,20,3.8,102.3,5,-11.91
31,Pittsburgh Steelers,4,96,320,3,15,3.3,80,4,0.31
32,Cincinnati Bengals,5,92,285,2,13,3.1,57,7,-6.64
